Name,URL,Latitude,Longitude,Dates,Price,Breakfast,Rooms
The Jericho Hotel,https://jerichohotel.co.uk/,51.7572,-1.26014,,,,
Westgate Hotel,https://www.westgatehoteloxford.co.uk/,51.75087,-1.26059,,,,
Newton House Oxford,https://www.newtonhouseoxford.co.uk/,51.75158,-1.26202,,,,
The Old Black Horse Inn,https://www.oldblackhorse.com/,51.75683,-1.2398,,,,
Mercure Oxford Eastgate Hotel,https://all.accor.com/hotel/6668/index.en.shtml,51.75267,-1.25534,,,,
The Buttery Hotel,https://www.thebutteryhotel.co.uk/,51.7543,-1.2542,,,,
Museum Residence Oxford (Museum Hotel),https://museumhotel.uk/,51.75199,-1.25502,,,,
Rawley House (University of Oxford),https://www.lifelong-learning.ox.ac.uk/about/accommodation,51.7571,-1.26206,,,,
Crown Hotel,https://www.crownhoteloxford.com/,51.74996,-1.23002,,,,
Head of the River,https://www.headoftheriveroxford.co.uk/,51.75077,-1.25818,,,,
The Randolph Hotel Oxford,https://www.hilton.com/en/hotels/lonrdgu-graduate-oxford-uk/,51.75329,-1.25751,,,,
The George Street Hotel,https://www.gshoxford.co.uk/,51.7539,-1.2585,,,,
Malmaison Oxford,https://www.malmaison.com/locations/oxford/,51.75115,-1.2579,,,,
Old Bank Hotel,https://www.oldbankhotel.co.uk/,51.7526,-1.2555,,,,
Courtyard by Marriott Oxford City Centre,https://www.marriott.com/en-gb/hotels/oxfcy-courtyard-oxford-city-centre/overview/,51.75131,-1.26347,,,,
The Store Oxford,https://thestoreoxford.com/,51.754,-1.259,,,,
Premier Inn Oxford (Botley) Hotel,https://www.premierinn.com/gb/en/hotels/england/oxfordshire/oxford/oxford-botley.html,51.75183,-1.26609,,,,
Premier Inn Oxford City Centre (Westgate) Hotel,https://www.premierinn.com/gb/en/hotels/england/oxfordshire/oxford/oxford-city-centre-westgate.html,51.752,-1.2595,,,,
Brasenose College (Frewin Site),https://www.bnc.ox.ac.uk/about-brasenose/frewin-development-blog,51.753418,-1.259072,13-17 Apr 2026,£114.00 + £10 for breakfast,£10 for breakfast (optional),40
St Hilda's College (Anniversary & CBB bedrooms),https://www.st-hildas.ox.ac.uk/,51.748266,-1.245768,13-17 Apr 2026,£100.00 (Inc. breakfast),Included,20
St Peter's College (Damazer House & Perrodo Building),https://www.spc.ox.ac.uk/about/conferences-and-accommodation/guest-accommodation,51.752761,-1.260722,13-17 Apr 2026,£104.00 (Inc. breakfast); additional rate £67.30,Included,33; +20 (two blocks)
Worcester College,https://www.worc.ox.ac.uk/,51.75430,-1.26347,13-17 Apr 2026,£124.00 (Inc. breakfast),Included,44
